automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		الأعضاء والنفس	الترمذي، الحكيم	ShamAY	6794	0.99894
		الأعضاء والنفس	الترمذي، الحكيم	Sham19Y	6794	0.9983
		 غور الأمور 	 الحكيم الترمذي 	ABLibrary	8696	0.89194
		قصة آدم عليه السلام	الواحدي :: ياسر برهامي	ShamAY	34985	0.75828
		إغاثة اللهفان من مصائد الشيطان - المعرفة	محمد بن أبي بكر أيوب الزرعي أبو عبد الله	ShamAY	34412	0.75305
		 تقسيم الخواطر ( ويليه العرف العاطر في معرفة الخواطر ) 	 روزبهان البقلي الشيرازي ( شطاح فارس ) 	ABLibrary	8730	0.75057
		 شرح الأسماء الحسنى 	 ابو القاسم عبد الكريم القشيري 	ABLibrary	8454	0.75053
		الميزان في تفسير القرآن [ج ٨]	آية الله السيد محمد حسين الطباطبائي	Rafed	1437	0.75015
		كتاب الجواب الكافي لمن سأل عن الدواء الشافي (الداء والدواء)	محمد بن أبي بكر أيوب الزرعي ابن القيم أبو عبد الله	ShamAY	34414	0.74911
		تفسير الصّافي [ج ١]	محمّد بن المرتضى [ الفيض الكاشاني ]	Rafed	3028	0.74831
		إغاثة اللهفان من مصايد الشيطان	محمد بن أبي بكر بن أيوب بن سعد شمس الدين ابن قيم الجوزية (المتوفى: 751هـ)	ShamAY	11688	0.74604
		الأمثال من الكتاب والسنة	محمد بن علي بن الحسن بن بشر، أبو عبد الله، الحكيم الترمذي (المتوفى: نحو 320هـ)	ShamAY	6893	0.74596
		الأمثال من الكتاب والسنة	محمد بن علي بن الحسن بن بشر، أبو عبد الله، الحكيم الترمذي (المتوفى: نحو 320ه)	Sham19Y	6893	0.74587
		البحر المديد في تفسير القرآن المجيد [ج ٥]	أحمد بن محمد بن عجيبة	Rafed	3836	0.7454
		البحر المديد في تفسير القرآن المجيد [ج ٣]	أحمد بن محمد بن عجيبة	Rafed	3797	0.74486
		موضوعات صالحة للخطب والوعظ	محمد بن عبد الرحمن بن محمد بن عبد الله بن عبد الرحمن بن محمد بن قاسم العاصمي الحنبلي (المتوفى: 1421هـ)	ShamAY	7373	0.74457
		شذا الريحان في روائع رمضان	جميلة المصريفي	ShamAY	35110	0.74398
		 مجموعه رسائل ابن عربي 	 ابن عربي 	ABLibrary	8751	0.74396
		روح البيان	إسماعيل حقي بن مصطفى الإستانبولي الحنفي الخلوتي , المولى أبو الفداء (المتوفى: 1127هـ)	ShamAY	23612	0.7439
		الفوائد لابن القيم	محمد بن أبي بكر بن أيوب بن سعد شمس الدين ابن قيم الجوزية (المتوفى: 751هـ)	ShamAY	6832	0.74381
		فيض الرحمن تفسير جواهر القرآن	أبو يوسف محمد زايد	ShamAY	33116	0.7436
