automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		زيج الصابئ	محمد بن جابر بن سنان الحراني الرقي الصابئ، أبو عبد الله المعروف بالبتاني (المتوفى: 317ه)	Sham19Y	452	0.41123
		زيج الصابئ	محمد بن جابر بن سنان الحراني الرقي الصابئ، أبو عبد الله المعروف بالبتاني (المتوفى: 317هـ)	ShamAY	452	0.40915
		 منهاج الملة في بيان الوقت والقبلة 	 الشيخ علي الغروي 	ABLibrary	9397	0.34669
		الأنس الجليل بتاريخ القدس والخليل [ج ٢]	مجير الدين الحنبلي العليمي	Rafed	2093	0.31323
		 عجائب المخلوقات وغرايب الموجودات 	 زكريا القزويني 	ABLibrary	9136	0.31287
		 جامع العلوم في اصطلاحات الفنون الملقب بدستور العلماء 	 القاضى عبد النبي بن عبد الرسول الأحمد نگري 	ABLibrary	8403	0.3092
		 أصول الدين 	 محمد حسن آل ياسين 	ABLibrary	8335	0.30313
		 عين اليقين الملقب بالأنوار والأسرار 	 الفيض الكاشاني 	ABLibrary	8520	0.30251
		عجائب المخلوقات وغرائب الموجودات‏	زكريا بن محمد القزويني	Masaha	4844	0.30208
		 جامع العلوم في اصطلاحات الفنون الملقب بدستور العلماء 	 القاضى عبد النبي بن عبد الرسول الأحمد نگري 	ABLibrary	8402	0.30199
		 صفة جزيرة العرب 	 الحسن الهمداني ( ابن الحائك ) 	ABLibrary	9129	0.30156
		 تلخيص الشافي 	 الشيخ الطوسي 	ABLibrary	8390	0.30001
		 تحقيق ما للهند 	 أبو ريحان البيروني 	ABLibrary	9023	0.29998
		 شرح المقاصد 	 التفتازاني 	ABLibrary	8465	0.2992
		 المطالب العالية من العلم الإلهي 	 فخر الدين الرازي 	ABLibrary	8613	0.29904
		 رحلة فريزر إلى بغداد 	 جيمس بيلي فريزر 	ABLibrary	9103	0.29809
		صفة جزيرة العرب	الحسن بن أحمد بن يعقوب الهمداني	Rafed	2485	0.29715
		 رسائل ابن حزم الأندلسي 	 ابن حزم 	ABLibrary	8431	0.29712
		 الشهاب الثاقب في وجوب صلاة الجمعة العيني 	 الفيض الكاشاني 	ABLibrary	9337	0.29643
		 رسالة التوحيد 	 الشيخ محمد عبده 	ABLibrary	8430	0.29629
		المدرّس الأفضل [ج ١]	الشيخ محمّد علي المدرّس الأفغاني	Rafed	2679	0.29559
		 انشاء الدوائر ( ويليه عُقلَة المستوفز وكتاب التدبيرات الالهية ) 	 ابن عربي 	ABLibrary	8733	0.29554
		 بد العارف 	 ابن سبعين 	ABLibrary	8759	0.29549
		 الكشف عن مناهج الأدلة في عقائد الملة 	 ابن رشد 	ABLibrary	8577	0.29542
		 نور العيون وجامع الفنون 	 صلاح الدين بن يوسف الكحال الحموي 	ABLibrary	9932	0.29536
		 خطط الشام 	 محمد كرد علي 	ABLibrary	9058	0.29506
		عين اليقين [ج ٢]	محمّد بن المرتضى [ الفيض الكاشاني ]	Rafed	3592	0.29492
		 إرشاد الطالبين إلى نهج المسترشدين 	 المقداد السيوري 	ABLibrary	8328	0.29484
		 سيرة الأئمة الاثني عشر ( ع ) 	 هاشم معروف الحسني 	ABLibrary	7547	0.29448
		 الرحلة الحجازية ( الارتسامات اللطاف في خاطر الحاج إلى أقدس مطاف ) 	 شكيب أرسلان 	ABLibrary	9092	0.29425
		مجلة المقتبس	محمد كرد علي	ShamAY	443	0.29397
		 رحلة المكناسي 	 محمد بن عبد الوهاب المكناسي 	ABLibrary	9109	0.29315
		مجلة المقتبس	محمد كرد علي	ShamelaY19	26523	0.29307
		 إرشاد ذوي العقول إلى براءة الصوفية من الاتحاد والحلول 	 مجموعة مؤلفين 	ABLibrary	8828	0.29297
		المطالب العالية من العلم الإلهي [ج ٨]	محمّد بن عمر بن الحسن بن الحسين التيمي البكري [ فخر الدين الرازي ]	Rafed	3641	0.29204
		 رسائل ومقالات 	 الشيخ السبحاني 	ABLibrary	8443	0.2918
		 شرح المقاصد 	 التفتازاني 	ABLibrary	8463	0.29134
		 الذخيرة في علم الكلام 	 الشريف المرتضى 	ABLibrary	8424	0.29124
		دلائل الإعجاز في علم المعاني	عبد القاهر بن عبد الرحمن الجرجاني	Rafed	2081	0.2911
		أسرار البلاغة	أبو بكر عبد القاهر بن عبد الرحمن بن محمد الفارسي الأصل، الجرجاني الدار (المتوفى: 471ه)	Sham19Y	8187	0.29059
		 تلخيص الشافي 	 الشيخ الطوسي 	ABLibrary	8391	0.29058
		مطارح الأنظار [ج ١]	الميرزا أبو القاسم الكلانتري الطهراني	Rafed	991	0.29049
		تاريخ الفقه الجعفري	هاشم معروف الحسني	Rafed	3882	0.29037
		رحلة فريزر	جيمس بيلي فريزر	Rafed	2444	0.29016
