automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		إيضاح الاشتباه‌	العلامة الحلي	Masaha	3516	0.97951
		رجال العلامه الحلي	حسن بن يوسف بن مطهر علامه حلي	Ghbook	2564	0.68918
		رجال العلامة الحلي‏	العلامة الحلي	Masaha	4722	0.67557
		خلاصة الاقوال في معرفة الرجال	العلامة الحلي	Masaha	547	0.63891
		خلاصه الاقوال في معرفه الرجال	حسن بن يوسف بن مطهر علامه حلي	Ghbook	7057	0.57966
		شرح مشيخة تهذيب الأحكام	السيد حسن الموسوي الخرسان	Rafed	753	0.52679
		 أعيان الشيعة 	 السيد محسن الأمين 	ABLibrary	75	0.5224
		منهج المقال في تحقيق احوال الرجال [ج ٢]	محمد بن علي الاسترابادي	Rafed	206	0.5121
		نقد الرجال [ج ١]	السيد مصطفى بن الحسين الحسيني التفرشي	Rafed	136	0.50898
		منهج المقال في تحقيق احوال الرجال [ج ٣]	محمد بن علي الاسترابادي	Rafed	208	0.50488
		تاريخ الإسلام ووفيات المشاهير والأعلام [ج ٣٣]	شمس الدين محمّد بن أحمد بن عثمان الذّهبي	Rafed	3578	0.49992
		 لحظ الألحاظ بذيل طبقات الحفاظ 	 محمد بن محمد ابن محمد بن فهد الهاشمي المكي 	ABLibrary	830	0.49928
		طبقات اعلام الشيعة - الجزء1	الشيخ آقا بزرك الطهراني	Masaha	3164	0.49605
		تاريخ بغداد أو مدينة السّلام [ج ٢١]	محبّ الدين أبي عبدالله محمّد بن محمود بن الحسن [ ابن النجّار البغدادي ]	Rafed	2982	0.49285
		منتهى المقال في أحوال الرّجال [ج ٦]	الشيخ محمّد بن إسماعيل المازندراني	Rafed	540	0.49271
		تاريخ الإسلام ووفيات المشاهير والأعلام [ج ٣٨]	شمس الدين محمّد بن أحمد بن عثمان الذّهبي	Rafed	3585	0.489
		مقاتل الطالبيّين	أبي الفرج الاصفهاني	Rafed	3214	0.48648
		بحار الأنوار [المدخل]	الشيخ محمّد باقر بن محمّد تقي المجلسي	Rafed	514	0.48597
		أصول علم الرجال بين النظريّة والتطبيق	محمد علي صالح المعلّم	Rafed	2839	0.48576
		منتهى المقال في أحوال الرّجال [ج ٥]	الشيخ محمّد بن إسماعيل المازندراني	Rafed	538	0.48522
		تاريخ بغداد أو مدينة السّلام [ج ١٩]	محبّ الدين أبي عبدالله محمّد بن محمود بن الحسن [ ابن النجّار البغدادي ]	Rafed	2980	0.48395
		خاتمة مستدرك الوسائل [ج ٧]	الشيخ حسين النوري الطبرسي [ المحدّث النوري ]	Rafed	1470	0.48381
		تاريخ بغداد أو مدينة السّلام [ج ١٢]	أبي بكر أحمد بن علي الخطيب البغدادي	Rafed	2893	0.48316
		تقييد المهمل وتمييز المشكل - ط عالم الفوائد	أبو علي الحسين بن محمد الغساني الجياني (498 هـ)	ShamAY	34577	0.48295
		شعب المقال في درجات الرجال‌	الميرزا ابو القاسم بن محمد النراقي	Masaha	3537	0.48273
		ذيل تأريخ مدينة السلام [ج ٣]	أبي عبد الله محمّد بن سعيد بن الدبيثي	Rafed	2323	0.48261
		تاريخ بغداد أو مدينة السّلام [ج ٨]	أبي بكر أحمد بن علي الخطيب البغدادي	Rafed	2718	0.48235
		 منتقلة الطالبية 	 ابراهيم بن ناصر بن طبطبا 	ABLibrary	9232	0.48231
		تاريخ بغداد أو مدينة السّلام [ج ١٧]	محبّ الدين أبي عبدالله محمّد بن محمود بن الحسن [ ابن النجّار البغدادي ]	Rafed	2904	0.48177
		إعلام النبلاء بتاريخ حلب الشهباء [ج ٤]	محمد راغب بن محمود بن هاشم الطبّاخ الحلبي	Rafed	2366	0.48174
		تاريخ الإسلام ووفيات المشاهير والأعلام [ج ٣٢]	شمس الدين محمّد بن أحمد بن عثمان الذّهبي	Rafed	3567	0.48173
		 بغية الطلب في تاريخ حلب 	 عمر بن أحمد العقيلي الحلبي ( ابن العديم ) 	ABLibrary	812	0.48068
		إكمال الإكمال (تكملة لكتاب الإكمال لابن ماكولا)	محمد بن عبد الغني بن أبي بكر بن شجاع، أبو بكر، معين الدين، ابن نقطة الحنبلي البغدادي (المتوفى: 629هـ)	ShamAY	5797	0.48023
