automatic URI	Proposed URI	bookTitle	authorName	collection	id	tfidf
		الاشارات الى معرفة الزيارات	علي بن أبي بكر بن علي الهروي، أبو الحسن (المتوفى: 611هـ)	ShamAY	10797	0.99771
		 الإشارات إلى معرفة الزيارات 	 علي بن أبي بكر الهروي 	ABLibrary	8954	0.99449
		الإشارات إلى معرفة الزيارات‏	علي بن أبي بكر الهروي	Masaha	4640	0.99348
		الإشارات إلى معرفة الزّيارات	أبي الحسن علي بن أبي بكر الهروي	Rafed	2186	0.99346
		الكواكب السيّارة في ترتيب الزيارة	شمس الدين أبو عبد الله محمّد بن ناصر الأنصاري [ ابن الزيّات ]	Rafed	2464	0.67566
		 الكواكب السيارة في ترتيب الزيارة 	 ابن الزيات 	ABLibrary	9169	0.67364
		تحفة الأحباب وبغية الطلاب‏	علي بن أحمد السخاوي	Masaha	4661	0.65403
		تحفة الأحباب وبغية الطّلاب	نور الدين علي بن أحمد بن عمر بن خلف بن محمود السخاوي الحنفي	Rafed	2179	0.64625
		 محاضرة الأبرار ومسامرة الأخيار 	 ابن عربي 	ABLibrary	8745	0.62847
		 تحفة الأحباب وبغية الطلاب 	 علي بن أحمد السخاوي 	ABLibrary	9021	0.62178
		 الدرر في اختصار المغازي والسير 	 ابن عبد البر 	ABLibrary	7522	0.61813
		 جوامع السيرة النبوية 	 ابن حزم 	ABLibrary	7480	0.61424
		الجوهرة في نسب النبي وأصحابه العشرة	محمد بن أبي بكر بن عبد الله بن موسى الأنصاري التلمساني المعروف بالبري (المتوفى: بعد 645ه)	ShamelaY19	26484	0.60992
		مرشد الزوّار إلى قبور الأبرار [ج ١]	موفق الدين بن عثمان	Rafed	2657	0.60894
		 تاريخ الموصل 	 يزيد بن محمد الأزدي 	ABLibrary	9007	0.60817
		الجوهرة في نسب النبي وأصحابه العشرة	محمد بن أبي بكر بن عبد الله بن موسى الأنصاري التِّلمساني المعروف بالبُرِّي (المتوفى: بعد 645هـ)	ShamAY	26484	0.60763
		المستخرج من كتب الناس للتذكرة والمستطرف من أحوال الرجال للمعرفة	عبد الرحمن بن محمد بن إسحاق، ابن مندة العبدي الأصبهاني، أبو القاسم (المتوفى: 470ه)	ShamelaY19	122397	0.60738
		لباب الأنساب والألقاب والأعقاب	أبو الحسن ظهير الدين علي بن زيد البيهقي، الشهير بابن فندمه (المتوفى: 565هـ)	ShamAY	355	0.60694
		الدرر في اختصار المغازي والسير	النمري، الحافظ يوسف بن البر	Sham19Y	10695	0.60433
		جوامع السيرة النبوية	ابن حزم الأندلسي‏	Masaha	1959	0.6041
		أسد الغابة ط الفكر	أبو الحسن علي بن أبي الكرم محمد بن محمد بن عبد الكريم بن عبد الواحد الشيباني الجزري، عز الدين ابن الأثير (المتوفى: 630ه)	Sham19Y	23700	0.60382
		رسائل المقريزي	أحمد بن علي بن عبد القادر، أبو العباس الحسيني العبيدي، تقي الدين المقريزي (المتوفى: 845ه)	Sham19Y	10710	0.60369
		 أخبار مكة في قديم الدهر وحديثه 	 محمد بن اسحاق ابن العباس الفاكهي المكي 	ABLibrary	8926	0.6031
		السيرة النبوية و أخبار الخلفاء - الجزء1	أبو حاتم التميمي	Masaha	2044	0.60255
		الدرر في اختصار المغازي والسير	النمري، الحافظ يوسف بن البر	ShamAY	10695	0.60231
		كتاب الأربعين المغنية بعيون فنونها عن المعين	خليل بن كيكلدي العلائي الشافعي	ShamAY	33598	0.60224
